Nr		,t`s,Ch 00`V,Ch 01`V,Ch 02`V
533		,0.266000,-0.009009,0.209192,-0.000221
534		,0.266500,-0.007882,0.209192,-0.000189
535		,0.267000,-0.007238,0.209643,-0.000382
536		,0.267500,-0.006432,0.209321,0.000069
537		,0.268000,-0.004983,0.208677,-0.000253
538		,0.268500,-0.002890,0.207228,-0.000092
539		,0.269000,-0.002729,0.205666,-0.000189
540		,0.269500,-0.001762,0.203493,-0.000253
541		,0.270000,-0.000313,0.201223,-0.000382
542		,0.270500,0.000009,0.199951,-0.000318
543		,0.271000,-0.002246,0.199033,-0.000350
544		,0.271500,-0.003695,0.199307,-0.000189
545		,0.272000,-0.004500,0.199661,0.000036
546		,0.272500,-0.005788,0.200788,-0.000028
547		,0.273000,-0.006432,0.201722,0.000133
548		,0.273500,-0.007238,0.202945,0.000165
549		,0.274000,-0.007882,0.204442,-0.000125
550		,0.274500,-0.007882,0.205618,-0.000060
551		,0.275000,-0.007238,0.206584,-0.000350
552		,0.275500,-0.007882,0.207373,-0.000060
553		,0.276000,-0.008365,0.208467,-0.000060
554		,0.276500,-0.007882,0.209079,-0.000125
555		,0.277000,-0.006755,0.209224,-0.000060
